Student_ID,Name,Gender,District,Schooling_Type,Internet_Access,Parental_Education_Level,Scholarship_Status,Extracurricular_Participation,Residence_Type,School_Medium,Education_System,Transport_Mode,Attendance_Percentage,Study_Hours_per_Week,CGPA,Assignment_Average,Quiz_Average,Mid_Marks,Final_Marks,Final_Exam_Status,Submission_Date
1,Farhan Raza,Male,Rawalpindi,Private,Yes,Intermediate,No,None,Urban,English Medium,Cambridge System,School Bus,99,23,2.04,75.02,75.83,48,62,Pass,2024-01-23
2,Sana Iqbal,Female,Lahore,Madrasa,Yes,PhD,No,Volunteer Work,Urban,English Medium,Sindh Board,School Bus,88,19,3.08,59.41,41.55,53,57,Pass,2024-04-06
3,Bushra Butt,Female,Islamabad,Public,Yes,Matric,Yes,Sports,Urban,English Medium,Federal Board,Own Vehicle,96,27,3.29,76.41,63.4,73,89,Fail,2024-07-07
4,Kamran Malik,Male,Faisalabad,Home Schooling,No,Primary,Yes,Arts Society,Urban,Urdu Medium,Federal Board,School Bus,74,21,2.46,62.64,77.61,54,67,Fail,2024-04-23
5,Adeel Shah,Male,Peshawar,Madrasa,Yes,Intermediate,No,Arts Society,Rural,English Medium,Cambridge System,Public Transport,58,9,3.69,61.55,68.39,95,97,Fail,2023-01-29
6,Hira Sheikh,Female,Lahore,Madrasa,Yes,Matric,Yes,Arts Society,Rural,English Medium,Federal Board,Own Vehicle,95,2,2.0,85.11,70.65,86,84,Pass,2023-01-14
7,Imran Qureshi,Male,Multan,Public,No,Uneducated,Yes,Sports,Rural,English Medium,Cambridge System,Walking,92,4,3.19,78.57,59.52,94,49,Pass,2024-10-31
8,Rehan Iqbal,Male,Rawalpindi,Public,No,Intermediate,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,Own Vehicle,80,14,2.12,79.26,55.1,71,91,Fail,2025-04-27
9,Zainab Khan,Female,Islamabad,Home Schooling,No,Intermediate,Yes,None,Rural,Urdu Medium,Punjab Board,Walking,76,20,3.92,79.2,80.74,66,59,Pass,2024-08-26
10,Zain Chaudhry,Male,Sialkot,Home Schooling,No,PhD,Yes,None,Urban,Urdu Medium,Federal Board,Public Transport,97,6,2.92,75.54,59.28,85,59,Pass,2024-03-26
11,Rehan Sheikh,Male,Faisalabad,Private,No,Bachelors,Yes,Multiple Activities,Urban,English Medium,Sindh Board,School Bus,100,26,3.02,79.01,56.71,73,45,Fail,2024-07-18
12,Ayesha Raza,Female,Islamabad,Public,Yes,Uneducated,Yes,Debate Club,Rural,English Medium,Punjab Board,Public Transport,71,23,3.5,61.02,76.26,60,65,Pass,2025-05-02
13,Amna Butt,Female,Islamabad,Public,No,Uneducated,Yes,Debate Club,Urban,Urdu Medium,Cambridge System,Public Transport,57,27,2.38,48.03,84.9,94,56,Pass,2024-05-24
14,Noor Malik,Female,Multan,Public,No,Primary,No,Volunteer Work,Rural,English Medium,Cambridge System,School Bus,72,13,2.71,66.25,73.25,61,96,Pass,2023-11-30
15,Zainab Butt,Female,Rawalpindi,Home Schooling,No,Matric,Yes,Arts Society,Rural,Urdu Medium,Sindh Board,School Bus,65,12,3.43,46.91,55.91,60,58,Pass,2024-08-15
16,Mehak Shah,Female,Lahore,Home Schooling,Yes,Bachelors,Yes,Sports,Rural,Urdu Medium,Cambridge System,Walking,96,21,2.53,67.17,80.87,89,77,Pass,2024-07-08
